Item Id,Item Name,Monster,Components
480769,Goldshooter 1,Ahtal-Ka,"Ahtal-Ka Gold Cocoon [Ahtal-Ka]
Ahtal-Ka Purple Cocoon [Ahtal-Ka]
Ahtal-Ka Fine Silk [Ahtal-Ka]
Ahtal-Ka Foreblade [Ahtal-Ka]"
550657,Goldscythe 1,Ahtal-Ka,"Ahtal-Ka Foreblade [Ahtal-Ka]
Ahtal-Ka Fine Silk [Ahtal-Ka]
Ahtal-Ka Pheromone [Ahtal-Ka]
Purecrystal"
612097,Goldaxe 1,Ahtal-Ka,"Ahtal-Ka Gold Cocoon [Ahtal-Ka]
Ahtal-Ka Purple Cocoon [Ahtal-Ka]
Ahtal-Ka Foreblade [Ahtal-Ka]
Ultimas Crystal"
678657,Gold Gunlance 1,Ahtal-Ka,"Ahtal-Ka Gold Cocoon [Ahtal-Ka]
Ahtal-Ka Fine Silk [Ahtal-Ka]
Ahtal-Ka Pheromone [Ahtal-Ka]
Purecrystal"
741889,Goldbow 1,Ahtal-Ka,"Ahtal-Ka Gold Cocoon [Ahtal-Ka]
Ahtal-Ka Purple Cocoon [Ahtal-Ka]
Ahtal-Ka Fine Silk [Ahtal-Ka]
Iridescent Carapace [Ahtal-Ka]"
812289,Goldblades 1,Ahtal-Ka,"Ahtal-Ka Gold Cocoon [Ahtal-Ka]
Ahtal-Ka Purple Cocoon [Ahtal-Ka]
Ahtal-Ka Pheromone [Ahtal-Ka]
Ultimas Crystal"
875009,Goldhorn 1,Ahtal-Ka,"Ahtal-Ka Gold Cocoon [Ahtal-Ka]
Ahtal-Ka Purple Cocoon [Ahtal-Ka]
Ahtal-Ka Pheromone [Ahtal-Ka]
Meldspar Ore"
933121,Goldglaive 1,Ahtal-Ka,"Ahtal-Ka Gold Cocoon [Ahtal-Ka]
Ahtal-Ka Purple Cocoon [Ahtal-Ka]
Ahtal-Ka Pheromone [Ahtal-Ka]
Purecrystal"
998401,Gold Edge 1,Ahtal-Ka,"Ahtal-Ka Gold Cocoon [Ahtal-Ka]
Ahtal-Ka Purple Cocoon [Ahtal-Ka]
Ahtal-Ka Pheromone [Ahtal-Ka]
Purecrystal"
83713,Akantor Broadsword 1,Akantor,"Akantor Carapace [Akantor]
Akantor Tail [Akantor]
Akantor Hardclaw [Akantor]"
147201,Akantor Duo 1,Akantor,"Akantor Carapace [Akantor]
Akantor Tallfang [Akantor]
Akantor Spike [Akantor]"
341761,Akantor Cannon 1,Akantor,"Akantor Carapace [Akantor]
Akantor Tallfang [Akantor]
Akantor Spike [Akantor]"
541697,Akantor Katana 1,Akantor,"Akantor Spike [Akantor]
Akantor Carapace [Akantor]
Akantor Tail [Akantor]"
604161,Akantor Switch Axe 1,Akantor,"Akantor Carapace [Akantor]
Akantor Tail [Akantor]
Akantor Spike [Akantor]"
670721,Akantor Gunlance 1,Akantor,"Akantor Tallfang [Akantor]
Akantor Hardclaw [Akantor]
Akantor Carapace [Akantor]"
735233,Akantor Bow 1,Akantor,"Akantor Tallfang [Akantor]
Akantor Spike [Akantor]
Akantor Scale+ [Akantor]"
802561,Akantor Blades 1,Akantor,"Akantor Carapace [Akantor]
Akantor Hardclaw [Akantor]
Akantor Scale+ [Akantor]"
867329,Akantor Horn 1,Akantor,"Akantor Tail [Akantor]
Akantor Tallfang [Akantor]
Akantor Scale+ [Akantor]"
993537,Akantor C. Blade 1,Akantor,"Akantor Tallfang [Akantor]
Akantor Carapace [Akantor]
Akantor Spike [Akantor]"
84225,Alatreon Great Sword 1,Alatreon,"Broken Skypiercer [Alatreon]
Alatreon Talon [Alatreon]
Elder Dragon Blood"
147713,Alatreon Sword 1,Alatreon,"Alatreon Scute [Alatreon]
Alatreon Webbing [Alatreon]
Elder Dragon Blood"
214017,Alatreon Hammer 1,Alatreon,"Alatreon Talon [Alatreon]
Alatreon Scute [Alatreon]
Elder Dragon Blood"
279297,Alatreon Lance 1,Alatreon,"Broken Skypiercer [Alatreon]
Alatreon Tail [Alatreon]
Elder Dragon Blood"
342273,Chaos Wing 1,Alatreon,"Alatreon Plate [Alatreon]
Alatreon Webbing [Alatreon]
Elder Dragon Blood"
542209,Dark Claw 1,Alatreon,"Alatreon Talon [Alatreon]
Alatreon Tail [Alatreon]
Elder Dragon Blood"
604673,Dark Switch Axe 1,Alatreon,"Alatreon Talon [Alatreon]
Broken Skypiercer [Alatreon]
Elder Dragon Blood"
735745,Alatreon Bow 1,Alatreon,"Broken Skypiercer [Alatreon]
Alatreon Scute [Alatreon]
Elder Dragon Blood"
929537,Alatreon Dragonspire 1,Alatreon,"Broken Skypiercer [Alatreon]
Alatreon Scute [Alatreon]
Elder Dragon Blood"
1002497,Alatreon Edge 1,Alatreon,"Skyswayer [Alatreon]
Alatreon Pallium [Alatreon]
Lrg ElderDragon Bone"
925185,Hortadent 1,Altaroth,"Shiny Beetle
Altaroth Jaw [Altaroth]
Altaroth Stomach [Altaroth]
Monster Bone M"
84481,Roilcloud Sword 1,Amatsu,"Amatsu Carapace [Amatsu]
Amatsu Pleura [Amatsu]
Amatsu Horn [Amatsu]"
147969,Ominous Treasure 1,Amatsu,"Amatsu Webbing [Amatsu]
Amatsu Horn [Amatsu]
Storm Vesicle [Amatsu]"
214273,Incubus Hammer 1,Amatsu,"Amatsu Horn [Amatsu]
Amatsu Pleura [Amatsu]
Amatsu Webbing [Amatsu]"
279553,Ominous Cloud 1,Amatsu,"Amatsu Pleura [Amatsu]
Amatsu Claw+ [Amatsu]
Amatsu Webbing [Amatsu]"
342529,Ill Omen 1,Amatsu,"Amatsu Carapace [Amatsu]
Amatsu Horn [Amatsu]
Storm Vesicle [Amatsu]"
474625,Wicked Needle 1,Amatsu,"Amatsu Carapace [Amatsu]
Amatsu Horn [Amatsu]
Amatsu Webbing [Amatsu]"
542465,Ominous Spring 1,Amatsu,"Amatsu Horn [Amatsu]
Amatsu Pleura [Amatsu]
Amatsu Claw+ [Amatsu]"
604929,Cloudburst Axe 1,Amatsu,"Amatsu Horn [Amatsu]
Amatsu Tail [Amatsu]
Amatsu Webbing [Amatsu]"
671233,Ominous Monsoon 1,Amatsu,"Amatsu Horn [Amatsu]
Amatsu Carapace [Amatsu]
Amatsu Webbing [Amatsu]"
736001,Tempest Nightbow 1,Amatsu,"Amatsu Horn [Amatsu]
Amatsu Webbing [Amatsu]
Amatsu Claw+ [Amatsu]"
803073,Stormwind Fans 1,Amatsu,"Amatsu Horn [Amatsu]
Amatsu Webbing [Amatsu]
Amatsu Claw+ [Amatsu]"
867841,Autumn Lute 1,Amatsu,"Amatsu Pleura [Amatsu]
Amatsu Horn [Amatsu]
Amatsu Webbing [Amatsu]"
937217,Stratus Arc 1,Amatsu,"Amatsu Hardhorn [Amatsu]
Amatsu Cortex [Amatsu]
Amatsu Hardclaw [Amatsu]"
993793,Altostratus Blade 1,Amatsu,"Amatsu Horn [Amatsu]
Amatsu Pleura [Amatsu]
Amatsu Webbing [Amatsu]"
337409,Arzuros Gun 1,Arzuros,"Arzuros Pelt+ [Arzuros]
Arzuros Brace+ [Arzuros]
Carbalite Ore
LR Arzuros Materials"
535553,Arzuros Naginata 1,Arzuros,"Arzuros Pelt [Arzuros]
Arzuros Shell [Arzuros]
Jumbo Bone"
591617,Arzuros Axe 1,Arzuros,"Arzuros Brace [Arzuros]
Arzuros Pelt [Arzuros]
Shiny Beetle"
795905,Cerulean Axes 1,Arzuros,"Arzuros Shell [Arzuros]
Arzuros Brace [Arzuros]
Monster Bone S"
859905,Zurogong Primo 1,Arzuros,"Arzuros Pelt [Arzuros]
Arzuros Brace [Arzuros]
Iron Ore
Brute Bone"
80129,Verdant Wing 1,Astalos,"Astalos Membrane [Astalos]
Astalos Shell [Astalos]
Astalos Wingtalon [Astalos]
Dragonite Ore"
144897,Verdant Rapier 1,Astalos,"Astalos Scissortail [Astalos]
Astalos Wingtalon [Astalos]
Astalos Scale [Astalos]
Dragonite Ore"
210945,Emerald Beater 1,Astalos,"Astalos Crest [Astalos]
Astalos Scale [Astalos]
Astalos Shell [Astalos]
Dragonite Ore"
276737,Verdant Tail 1,Astalos,"Astalos Scissortail [Astalos]
Astalos Membrane [Astalos]
Astalos Shell [Astalos]
Dragonite Ore"
338433,Wyvern Blaster 1,Astalos,"Astalos Scissortail [Astalos]
Astalos Shell [Astalos]
Astalos Membrane [Astalos]"
470273,Astalos Gun 1,Astalos,"Astalos Crest [Astalos]
Astalos Membrane [Astalos]
Astalos Scissortail [Astalos]"
539137,"Wyvern Blade Beryl"" 1""",Astalos,"Astalos Scissortail [Astalos]
Astalos Shell [Astalos]
Astalos Wingtalon [Astalos]
Dragonite Ore"
600321,Voltaic Axe 1,Astalos,"Astalos Crest [Astalos]
Astalos Wingtalon [Astalos]
Astalos Scale [Astalos]
Dragonite Ore"
667905,Verdant Rook 1,Astalos,"Astalos Shell [Astalos]
Astalos Crest [Astalos]
Astalos Wingtalon [Astalos]
Dragonite Ore"
731649,Lightning Bow 1,Astalos,"Astalos Membrane [Astalos]
Astalos Shell [Astalos]
Astalos Wingtalon [Astalos]"
799489,Twin Bolts 1,Astalos,"Astalos Wingtalon [Astalos]
Astalos Membrane [Astalos]
Astalos Scale [Astalos]
Dragonite Ore"
864513,Emerald Flap 1,Astalos,"Astalos Membrane [Astalos]
Astalos Scale [Astalos]
Astalos Scissortail [Astalos]
Dragonite Ore"
925953,Astalos Cudgel 1,Astalos,"Astalos Scissortail [Astalos]
Astalos Wingtalon [Astalos]
Astalos Shell [Astalos]
Dragonite Ore"
990977,Axela Blade 1,Astalos,"Astalos Scissortail [Astalos]
Astalos Shell [Astalos]
Astalos Membrane [Astalos]
Dragonite Ore"
97537,Icicle Fang 1,Barioth,"Barioth Carapace [Barioth]
Amber Fang+ [Barioth]
Barioth Spike [Barioth]"
160769,Icicle Spike 1,Barioth,"Barioth Spike [Barioth]
Barioth Pelt+ [Barioth]
Barioth Claw+ [Barioth]"
161025,Cryo Cross 1,Barioth,"Amber Hardfang [Barioth]
Barioth Thickfur [Barioth]
Hyper Ice Chunk"
291841,Tusk Lance 1,Barioth,"Amber Fang+ [Barioth]
Barioth Pelt+ [Barioth]
Freezer Sac"
353025,Guerrera Cannon 1,Barioth,"Barioth Carapace [Barioth]
Amber Fang+ [Barioth]
Large Snowclod [Gammoth]"
484609,Blizzard Cannon 1,Barioth,"Barioth Pelt+ [Barioth]
Amber Fang+ [Barioth]
Zamtrios Fin+ [Zamtrios]"
553985,Bastine Edge 1,Barioth,"Amber Fang+ [Barioth]
Barioth Carapace [Barioth]
Barioth Spike [Barioth]"
615681,Amber Slash 1,Barioth,"Amber Fang+ [Barioth]
Barioth Tail [Barioth]
Carbalite Ore"
615937,Galefrost 1,Barioth,"Amber Hardfang [Barioth]
Barioth Thickfur [Barioth]
Hyper Ice Chunk"
745729,Ice Crest 1,Barioth,"Barioth Carapace [Barioth]
Amber Fang+ [Barioth]
Freezer Sac"
816129,Blizzarioths 1,Barioth,"Barioth Carapace [Barioth]
Amber Fang+ [Barioth]
Barioth Pelt+ [Barioth]"
878593,Bariguiro 1,Barioth,"Barioth Carapace [Barioth]
Barioth Spike [Barioth]
Amber Fang+ [Barioth]"
97793,Carapace Sword 1,Barroth,"Barroth Claw+ [Barroth]
Barroth Ridge+ [Barroth]
Shiny Beetle"
161281,Carapace Mace 1,Barroth,"Barroth Carapace [Barroth]
Barroth Tail [Barroth]
Carbalite Ore"
227585,Carapace Hammer 1,Barroth,"Barroth Scalp [Barroth]
Barroth Carapace [Barroth]
Monster Keenbone"
227841,Barroth Martello 1,Barroth,"Barroth Crown [Barroth]
Barroth Cortex [Barroth]
Uragaan Jaw+ [Uragaan]"
292097,Rugged Lance 1,Barroth,"Barroth Ridge+ [Barroth]
Barroth Claw+ [Barroth]
Carbalite Ore"
484865,Barro Barrel 1,Barroth,"Barroth Scalp [Barroth]
Barroth Carapace [Barroth]
Stoutbone"
616193,Assault Axe 1,Barroth,"Barroth Carapace [Barroth]
Barroth Scalp [Barroth]
Monster Bone L"
682241,Barroth Loader 1,Barroth,"Barroth Carapace [Barroth]
Barroth Claw+ [Barroth]
Carbalite Ore"
682497,Roscasludge 1,Barroth,"Barroth Cortex [Barroth]
Hyper Keenclaw
Barroth Chine [Barroth]
Eltalite Ore"
878849,Sandpipe 1,Barroth,"Barroth Scalp [Barroth]
Barroth Carapace [Barroth]
Barroth Tail [Barroth]"
879105,Sandsinger 1,Barroth,"Barroth Crown [Barroth]
Barroth Cortex [Barroth]
Uragaan Shard [Uragaan]
Meldspar Ore"
1001985,Barroth Anchor 1,Barroth,"Barroth Carapace [Barroth]
Barroth Ridge+ [Barroth]
Carbalite Ore"
227073,Basarios Blow 1,Basarios,"Basarios Wing [Basarios]
Basarios Carapace [Basarios]
Monster Keenbone"
291073,Venom Lance 1,Basarios,"Basarios Wing [Basarios]
Basarios Carapace [Basarios]
Toxin Sac"
352001,Rock Eater 1,Basarios,"Basarios Carapace [Basarios]
Basarios Wing [Basarios]
Carbalite Ore"
553729,Gigant Makra 1,Basarios,"Basarios Carapace [Basarios]
Basarios Wing [Basarios]
Inferno Sac"
333057,Icethrower 1,Blangonga,"Blangonga Pelt [Blangonga]
Blangonga Fang [Blangonga]
Blangonga Whisker [Blangonga]
Sharp Claw"
461057,Tail String 1,Blangonga,"Blangonga Pelt [Blangonga]
Blangonga Tail [Blangonga]
Sharp Claw"
461313,Tail Blizzard 1,Blangonga,"Blangonga Fang+ [Blangonga]
Blangonga Tail [Blangonga]
Lagombi Frozenclaw [Lagombi]
Freezer Sac"
535297,Blango Decimator 1,Blangonga,"Blangonga Whisker [Blangonga]
Blangonga Fang [Blangonga]
Ice Crystal"
729857,Abominable Bow 1,Blangonga,"Blangonga Fang+ [Blangonga]
Blangonga Pelt+ [Blangonga]
Monster Keenbone
Daora Claw [Kushala Daora]"
924673,Rage Cudgel 1,Blangonga,"Blangonga Fang [Blangonga]
Blangonga Whisker [Blangonga]
Blangonga Tail [Blangonga]"
95233,Massacre Blade 1,Bloodbath Diablos,"Bloodbath Hunter I
Bloodbath Cortex [Bloodbath Diablos]
Diablos Cortex [Diablos]
Diablos Chine [Diablos]"
158465,Massacre Club 1,Bloodbath Diablos,"Bloodbath Hunter I
Bloodbath Cortex [Bloodbath Diablos]
Diablos Chine [Diablos]
Diablos Cortex [Diablos]"
289025,Massacre Lance 1,Bloodbath Diablos,"Bloodbath Hunter I
Bloodbath Cortex [Bloodbath Diablos]
Diablos Cortex [Diablos]
Diablos Chine [Diablos]"
349697,Massacre Cannon 1,Bloodbath Diablos,"Bloodbath Hunter I
Bloodbath Cortex [Bloodbath Diablos]
Majestic Horn [Diablos]
Diablos Tailcase+ [Diablos]"
482049,Massacre Buster 1,Bloodbath Diablos,"Bloodbath Hunter I
Bloodbath Cortex [Bloodbath Diablos]
Majestic Horn [Diablos]
Diablos Cortex [Diablos]"
613377,Massacre Hatchet 1,Bloodbath Diablos,"Bloodbath Hunter I
Bloodbath Cortex [Bloodbath Diablos]
Diablos Cortex [Diablos]
Diablos Tailcase+ [Diablos]"
679937,Massacre Gunlance 1,Bloodbath Diablos,"Bloodbath Hunter I
Bloodbath Cortex [Bloodbath Diablos]
Diablos Tailcase+ [Diablos]
Diablos Cortex [Diablos]"
743169,Massacre Bow 1,Bloodbath Diablos,"Bloodbath Hunter I
Bloodbath Cortex [Bloodbath Diablos]
Majestic Horn [Diablos]
Diablos Chine [Diablos]"
813569,Massacre Spines 1,Bloodbath Diablos,"Bloodbath Hunter I
Bloodbath Cortex [Bloodbath Diablos]
Diablos Cortex [Diablos]
Diablos Tailcase+ [Diablos]"
934401,Massacre Rod 1,Bloodbath Diablos,"Bloodbath Hunter I
Bloodbath Cortex [Bloodbath Diablos]
Diablos Chine [Diablos]
Diablos Tailcase+ [Diablos]"
999681,Massacre Strongarm 1,Bloodbath Diablos,"Bloodbath Hunter I
Bloodbath Cortex [Bloodbath Diablos]
Diablos Tailcase+ [Diablos]
Diablos Cortex [Diablos]"
721921,Arko Nulo (Y) 1,Bnahabra,"Bnahabra Wing [Bnahabra]
Bnahabra Shell [Bnahabra]
Shiny Beetle"
861953,Vicello Nulo 1,Bnahabra,"Shiny Beetle
Bnahabra Shell [Bnahabra]
Bnahabra Wing [Bnahabra]
Yukumo Wood"
94465,Zephra Wing 1,Boltreaver Astalos,"Boltreaver Hunter I
Boltreaver Shard [Boltreaver Astalos]
Astalos Wingmembrane [Astalos]
Heavy Astalos Shell [Astalos]"
157697,Zephra Rapier 1,Boltreaver Astalos,"Boltreaver Hunter I
Boltreaver Shard [Boltreaver Astalos]
Astalos Scissortailblade [Astalos]
Astalos Wingripper [Astalos]"
224513,Zephra Beater 1,Boltreaver Astalos,"Boltreaver Hunter I
Boltreaver Shard [Boltreaver Astalos]
Heavy Astalos Crest+ [Astalos]
Astalos Shard [Astalos]"
288257,Zephra Tail 1,Boltreaver Astalos,"Boltreaver Hunter I
Boltreaver Shard [Boltreaver Astalos]
Astalos Scissortailblade [Astalos]
Astalos Wingripper [Astalos]"
348929,Boltreaver Cannon 1,Boltreaver Astalos,"Boltreaver Hunter I
Boltreaver Shard [Boltreaver Astalos]
Heavy Astalos Shell [Astalos]
Astalos Wingmembrane [Astalos]"
481281,Boltreaver Shooter 1,Boltreaver Astalos,"Boltreaver Hunter I
Boltreaver Shard [Boltreaver Astalos]
Heavy Astalos Crest+ [Astalos]
Astalos Wingmembrane [Astalos]"
551169,"Wyvern Blade Corund"" 1""",Boltreaver Astalos,"Boltreaver Hunter I
Boltreaver Shard [Boltreaver Astalos]
Astalos Scissortailblade [Astalos]
Heavy Astalos Shell [Astalos]"
612609,Zephra Axe 1,Boltreaver Astalos,"Boltreaver Hunter I
Boltreaver Shard [Boltreaver Astalos]
Heavy Astalos Crest+ [Astalos]
Astalos Wingripper [Astalos]"
679169,Zephra Rook 1,Boltreaver Astalos,"Boltreaver Hunter I
Boltreaver Shard [Boltreaver Astalos]
Heavy Astalos Shell [Astalos]
Astalos Wingripper [Astalos]"
742401,Zephra Bow 1,Boltreaver Astalos,"Boltreaver Hunter I
Boltreaver Shard [Boltreaver Astalos]
Heavy Astalos Shell [Astalos]
Astalos Wingmembrane [Astalos]"
812801,Twin Revolt 1,Boltreaver Astalos,"Boltreaver Hunter I
Boltreaver Shard [Boltreaver Astalos]
Astalos Wingripper [Astalos]
Astalos Shard [Astalos]"
875521,Zephra Glide 1,Boltreaver Astalos,"Boltreaver Hunter I
Boltreaver Shard [Boltreaver Astalos]
Boltscale [Astalos]
Astalos Scissortailblade [Astalos]"
933633,Boltreaver Glaive 1,Boltreaver Astalos,"Boltreaver Hunter I
Boltreaver Shard [Boltreaver Astalos]
Astalos Scissortailblade [Astalos]
Astalos Wingripper [Astalos]"
998913,Axebolt Edge 1,Boltreaver Astalos,"Boltreaver Hunter I
Boltreaver Shard [Boltreaver Astalos]
Astalos Scissortailblade [Astalos]
Heavy Astalos Shell [Astalos]"
75521,Dios Blade 1,Brachydios,"Brach Shell [Brachydios]
Brach Tail [Brachydios]
Mystery Slime [Brachydios]"
75777,Demolition Sword 1,Brachydios,"Hyper Hunter II
Brach Ebonshell+ [Brachydios]
Brach Pounder [Brachydios]
Mystery Slime [Brachydios]"
131841,Dios Edge 1,Brachydios,"Brach Shell [Brachydios]
Brach Ebonshell [Brachydios]
Brach Tail [Brachydios]"
132097,Demolition Cutter 1,Brachydios,"Hyper Hunter II
Brach Carapace [Brachydios]
Brach Ebonshell+ [Brachydios]
Mystery Slime [Brachydios]"
203777,Dios Tailhammer 1,Brachydios,"Brach Ebonshell [Brachydios]
Brach Tail [Brachydios]
Mystery Slime [Brachydios]"
204033,Demolition Hammer 1,Brachydios,"Hyper Hunter II
Brach Ebonshell+ [Brachydios]
Brach Pounder [Brachydios]
Mystery Slime [Brachydios]"
275713,Dios Stinger 1,Brachydios,"Brach Scalp [Brachydios]
Brach Shell [Brachydios]
Mystery Slime [Brachydios]"
275969,Demolition Lance 1,Brachydios,"Hyper Hunter II
Brach Scalp+ [Brachydios]
Brach Pounder [Brachydios]
Mystery Slime [Brachydios]"
335873,Dios Cannon 1,Brachydios,"Brach Scalp [Brachydios]
Brach Shell [Brachydios]
Brach Ebonshell [Brachydios]
Mystery Slime [Brachydios]"
336129,Demolition Cannon 1,Brachydios,"Hyper Hunter II
Brach Pounder [Brachydios]
Brach Carapace [Brachydios]
Mystery Slime [Brachydios]"
459265,Dios Blaster 1,Brachydios,"Brach Shell [Brachydios]
Brach Ebonshell [Brachydios]
Mystery Slime [Brachydios]"
459521,Demolition Gun 1,Brachydios,"Hyper Hunter II
Brach Carapace [Brachydios]
Brach Pounder [Brachydios]"
531969,Dios Katana 1,Brachydios,"Brach Ebonshell [Brachydios]
Brach Shell [Brachydios]
Mystery Slime [Brachydios]"
532225,Demolition Katana 1,Brachydios,"Hyper Hunter II
Brach Ebonshell+ [Brachydios]
Brach Scalp+ [Brachydios]
Mystery Slime [Brachydios]"
591873,Dios Axe 1,Brachydios,"Brach Shell [Brachydios]
Brach Ebonshell [Brachydios]
Brach Scalp [Brachydios]"
592129,Demolition Axe 1,Brachydios,"Hyper Hunter II
Brach Carapace [Brachydios]
Brach Scalp+ [Brachydios]
Mystery Slime [Brachydios]"
661249,Dios Gunlance 1,Brachydios,"Brach Shell [Brachydios]
Brach Ebonshell [Brachydios]
Brach Scalp [Brachydios]"
661505,Demolition Gunlance 1,Brachydios,"Hyper Hunter II
Brach Carapace [Brachydios]
Brach Pounder [Brachydios]
Mystery Slime [Brachydios]"
726785,Dios Flier 1,Brachydios,"Brach Shell [Brachydios]
Brach Ebonshell [Brachydios]
Brach Hammer [Brachydios]"
727041,Demolition Bow 1,Brachydios,"Hyper Hunter II
Brach Carapace [Brachydios]
Brach Ebonshell+ [Brachydios]
Mystery Slime [Brachydios]"
789761,Dios Slicers 1,Brachydios,"Brach Shell [Brachydios]
Brach Ebonshell [Brachydios]
Mystery Slime [Brachydios]"
790017,Demolition Blades 1,Brachydios,"Hyper Hunter II
Brach Carapace [Brachydios]
Brach Scalp+ [Brachydios]
Mystery Slime [Brachydios]"
857601,Dios Bell 1,Brachydios,"Brach Shell [Brachydios]
Brach Ebonshell [Brachydios]
Brach Scalp [Brachydios]"
857857,Demolition Chime 1,Brachydios,"Hyper Hunter II
Brach Carapace [Brachydios]
Brach Scalp+ [Brachydios]
Mystery Slime [Brachydios]"
923649,Dios Rod 1,Brachydios,"Brach Ebonshell [Brachydios]
Brach Hammer [Brachydios]
Brach Tail [Brachydios]"
923905,Demolition Press 1,Brachydios,"Hyper Hunter II
Brach Ebonshell+ [Brachydios]
Brach Scalp+ [Brachydios]
Mystery Slime [Brachydios]"
984065,Dios Strongarm 1,Brachydios,"Brach Shell [Brachydios]
Brach Hammer [Brachydios]
Brach Scalp [Brachydios]"
984321,Demolition Blade 1,Brachydios,"Hyper Hunter II
Brach Carapace [Brachydios]
Brach Ebonshell+ [Brachydios]
Mystery Slime [Brachydios]"
81921,Grand Shamshir 1,Chameleos,"Chameleos Horn [Chameleos]
Chameleos Webbing [Chameleos]
Chameleos Hide [Chameleos]
Elder Dragon Blood"
212481,Genie's Expanse 1,Chameleos,"Chameleos Horn [Chameleos]
Chameleos Hide [Chameleos]
Chameleos Tail [Chameleos]
Elder Dragon Bone"
340225,Kamaeleon 1,Chameleos,"Chameleos Hide+ [Chameleos]
Chameleos Horn [Chameleos]
Chameleos Webbing [Chameleos]
Elder Dragon Bone"
472065,Blessed Lamp 1,Chameleos,"Chameleos Hide [Chameleos]
Chameleos Webbing [Chameleos]
Chameleos Horn [Chameleos]
Firestone"
526337,Mirage Finsword 1,Chameleos,"Chameleos Hide [Chameleos]
Chameleos Tail [Chameleos]
Chameleos Webbing [Chameleos]"
602369,Waxglare Wand 1,Chameleos,"Chameleos Horn [Chameleos]
Chameleos Hide [Chameleos]
Chameleos Claw [Chameleos]
Elder Dragon Bone"
669441,Venomous Cologne 1,Chameleos,"Chameleos Hide [Chameleos]
Chameleos Horn [Chameleos]
Lightcrystal
Firestone"
733185,Genie's Grimoire 1,Chameleos,"Chameleos Hide+ [Chameleos]
Chameleos Horn [Chameleos]
Chameleos Webbing [Chameleos]
Elder Dragon Bone"
792577,Rouge Flames 1,Chameleos,"Chameleos Claw [Chameleos]
Chameleos Tail [Chameleos]
Chameleos Hide [Chameleos]"
866049,Blessed Ocarina 1,Chameleos,"Chameleos Tail [Chameleos]
Chameleos Hide [Chameleos]
Chameleos Webbing [Chameleos]
Dragonite Ore"
927745,Caster's Rod 1,Chameleos,"Chameleos Hide [Chameleos]
Chameleos Horn [Chameleos]
Chameleos Tail [Chameleos]
Elder Dragon Blood"
97025,Licht/Ombre 1,Chaotic Gore Magala,"Chaos Scale [Chaotic Gore Magala]
Antinomic Wing [Chaotic Gore Magala]
Gore Magala Shredder [Gore Magala]"
